  array size  ( = 512) *  size of each item(= 16) = 8192,   average = 10.000000 
  array size  ( = 512) *  size of each item(= 16) = 8192,   average = 9.000000 
  array size  ( = 512) *  size of each item(= 16) = 8192,   average = 9.000000 
  array size  ( = 512) *  size of each item(= 16) = 8192,   average = 9.000000 
  array size  ( = 512) *  size of each item(= 16) = 8192,   average = 12.000000 
  array size  ( = 512) *  size of each item(= 16) = 8192,   average = 9.000000 
  array size  ( = 512) *  size of each item(= 16) = 8192,   average = 9.000000 
  array size  ( = 512) *  size of each item(= 16) = 8192,   average = 9.000000 
  array size  ( = 512) *  size of each item(= 16) = 8192,   average = 9.000000 
  array size  ( = 512) *  size of each item(= 16) = 8192,   average = 10.000000 
  array size  ( = 1024) *  size of each item(= 16) = 16384,   average = 12.000000 
  array size  ( = 1024) *  size of each item(= 16) = 16384,   average = 10.000000 
  array size  ( = 1024) *  size of each item(= 16) = 16384,   average = 9.000000 
  array size  ( = 1024) *  size of each item(= 16) = 16384,   average = 9.000000 
  array size  ( = 1024) *  size of each item(= 16) = 16384,   average = 9.000000 
  array size  ( = 1024) *  size of each item(= 16) = 16384,   average = 10.000000 
  array size  ( = 1024) *  size of each item(= 16) = 16384,   average = 10.000000 
  array size  ( = 1024) *  size of each item(= 16) = 16384,   average = 10.000000 
  array size  ( = 1024) *  size of each item(= 16) = 16384,   average = 10.000000 
  array size  ( = 1024) *  size of each item(= 16) = 16384,   average = 9.000000 
  array size  ( = 2048) *  size of each item(= 16) = 32768,   average = 10.000000 
  array size  ( = 2048) *  size of each item(= 16) = 32768,   average = 11.000000 
  array size  ( = 2048) *  size of each item(= 16) = 32768,   average = 10.000000 
  array size  ( = 2048) *  size of each item(= 16) = 32768,   average = 9.000000 
  array size  ( = 2048) *  size of each item(= 16) = 32768,   average = 9.000000 
  array size  ( = 2048) *  size of each item(= 16) = 32768,   average = 10.000000 
  array size  ( = 2048) *  size of each item(= 16) = 32768,   average = 10.000000 
  array size  ( = 2048) *  size of each item(= 16) = 32768,   average = 10.000000 
  array size  ( = 2048) *  size of each item(= 16) = 32768,   average = 10.000000 
  array size  ( = 2048) *  size of each item(= 16) = 32768,   average = 9.000000 
  array size  ( = 4096) *  size of each item(= 16) = 65536,   average = 14.000000 
  array size  ( = 4096) *  size of each item(= 16) = 65536,   average = 10.000000 
  array size  ( = 4096) *  size of each item(= 16) = 65536,   average = 10.000000 
  array size  ( = 4096) *  size of each item(= 16) = 65536,   average = 10.000000 
  array size  ( = 4096) *  size of each item(= 16) = 65536,   average = 10.000000 
  array size  ( = 4096) *  size of each item(= 16) = 65536,   average = 10.000000 
  array size  ( = 4096) *  size of each item(= 16) = 65536,   average = 10.000000 
  array size  ( = 4096) *  size of each item(= 16) = 65536,   average = 10.000000 
  array size  ( = 4096) *  size of each item(= 16) = 65536,   average = 10.000000 
  array size  ( = 4096) *  size of each item(= 16) = 65536,   average = 10.000000 
  array size  ( = 8192) *  size of each item(= 16) = 131072,   average = 18.000000 
  array size  ( = 8192) *  size of each item(= 16) = 131072,   average = 11.000000 
  array size  ( = 8192) *  size of each item(= 16) = 131072,   average = 11.000000 
  array size  ( = 8192) *  size of each item(= 16) = 131072,   average = 10.000000 
  array size  ( = 8192) *  size of each item(= 16) = 131072,   average = 10.000000 
  array size  ( = 8192) *  size of each item(= 16) = 131072,   average = 10.000000 
  array size  ( = 8192) *  size of each item(= 16) = 131072,   average = 10.000000 
  array size  ( = 8192) *  size of each item(= 16) = 131072,   average = 10.000000 
  array size  ( = 8192) *  size of each item(= 16) = 131072,   average = 10.000000 
  array size  ( = 8192) *  size of each item(= 16) = 131072,   average = 10.000000 
  array size  ( = 16384) *  size of each item(= 16) = 262144,   average = 26.000000 
  array size  ( = 16384) *  size of each item(= 16) = 262144,   average = 17.000000 
  array size  ( = 16384) *  size of each item(= 16) = 262144,   average = 19.000000 
  array size  ( = 16384) *  size of each item(= 16) = 262144,   average = 14.000000 
  array size  ( = 16384) *  size of each item(= 16) = 262144,   average = 13.000000 
  array size  ( = 16384) *  size of each item(= 16) = 262144,   average = 13.000000 
  array size  ( = 16384) *  size of each item(= 16) = 262144,   average = 13.000000 
  array size  ( = 16384) *  size of each item(= 16) = 262144,   average = 13.000000 
  array size  ( = 16384) *  size of each item(= 16) = 262144,   average = 13.000000 
  array size  ( = 16384) *  size of each item(= 16) = 262144,   average = 13.000000 
  array size  ( = 32768) *  size of each item(= 16) = 524288,   average = 39.000000 
  array size  ( = 32768) *  size of each item(= 16) = 524288,   average = 33.000000 
  array size  ( = 32768) *  size of each item(= 16) = 524288,   average = 33.000000 
  array size  ( = 32768) *  size of each item(= 16) = 524288,   average = 33.000000 
  array size  ( = 32768) *  size of each item(= 16) = 524288,   average = 38.000000 
  array size  ( = 32768) *  size of each item(= 16) = 524288,   average = 33.000000 
  array size  ( = 32768) *  size of each item(= 16) = 524288,   average = 33.000000 
  array size  ( = 32768) *  size of each item(= 16) = 524288,   average = 33.000000 
  array size  ( = 32768) *  size of each item(= 16) = 524288,   average = 35.000000 
  array size  ( = 32768) *  size of each item(= 16) = 524288,   average = 36.000000 
  array size  ( = 65536) *  size of each item(= 16) = 1048576,   average = 42.000000 
  array size  ( = 65536) *  size of each item(= 16) = 1048576,   average = 38.000000 
  array size  ( = 65536) *  size of each item(= 16) = 1048576,   average = 40.000000 
  array size  ( = 65536) *  size of each item(= 16) = 1048576,   average = 40.000000 
  array size  ( = 65536) *  size of each item(= 16) = 1048576,   average = 38.000000 
  array size  ( = 65536) *  size of each item(= 16) = 1048576,   average = 42.000000 
  array size  ( = 65536) *  size of each item(= 16) = 1048576,   average = 38.000000 
  array size  ( = 65536) *  size of each item(= 16) = 1048576,   average = 39.000000 
  array size  ( = 65536) *  size of each item(= 16) = 1048576,   average = 38.000000 
  array size  ( = 65536) *  size of each item(= 16) = 1048576,   average = 38.000000 
  array size  ( = 131072) *  size of each item(= 16) = 2097152,   average = 39.000000 
  array size  ( = 131072) *  size of each item(= 16) = 2097152,   average = 40.000000 
  array size  ( = 131072) *  size of each item(= 16) = 2097152,   average = 39.000000 
  array size  ( = 131072) *  size of each item(= 16) = 2097152,   average = 39.000000 
  array size  ( = 131072) *  size of each item(= 16) = 2097152,   average = 39.000000 
  array size  ( = 131072) *  size of each item(= 16) = 2097152,   average = 40.000000 
  array size  ( = 131072) *  size of each item(= 16) = 2097152,   average = 40.000000 
  array size  ( = 131072) *  size of each item(= 16) = 2097152,   average = 39.000000 
  array size  ( = 131072) *  size of each item(= 16) = 2097152,   average = 39.000000 
  array size  ( = 131072) *  size of each item(= 16) = 2097152,   average = 41.000000 
  array size  ( = 262144) *  size of each item(= 16) = 4194304,   average = 40.000000 
  array size  ( = 262144) *  size of each item(= 16) = 4194304,   average = 40.000000 
